"TOA5","Zion Pine Creek","CR6","10183","CR6.Std.09.02","CPU:PineCreek_3table_s15_r15_10alarm.CR6","8025","eng_data"
"TIMESTAMP","RECORD","BattV","TT_Lower","Digits_Lower","Disp_Lower","TT_Upper","Digits_Upper","Disp_Upper","TT_CTRL","Digits_CTRL","Disp_CTRL","T109_C","Vel_15min_Low","Vel_15min_Up","Vel_15min_CTRL","DayAVGVel_15min_Low","DayAVGVel_15min_Up","DayAVGVel_15min_CTRL","DayAVGVEL_alarm_Low","DayAVGVel_alarm_ave_Low","DayAVGVEL_alarm_UP","DayAVGVel_alarm_ave_Up","CELL210State"
"TS","RN","Volts","Deg C","Digits","mm","Deg C","Digits","mm","Deg C","Digits","mm","Deg C","mmperhr","mmperhr","mmperhr","mmperhr","mmperhr","mmperhr","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-11-07 17:30:00",0,13.230,16.540,5387.271,77.64290,17.290,4326.418,48.93234,-167.10,4261.449,42.94303,17.780,"NAN","NAN","NAN",0.000000,0.000000,0.000000,1.0000,0.0000,1.0000,0.0000,0
"2019-11-07 17:45:00",1,13.190,16.110,5388.542,77.65776,16.470,4328.549,48.96163,-151.00,4263.059,43.58335,17.430,0.05944824,0.1171570,2.561279,0.000000,0.000000,0.000000,1.0000,0.0000,1.0000,0.0000,-1
"2019-11-07 18:00:00",2,13.230,15.440,5389.786,77.66022,15.720,4330.523,48.98949,-152.90,4264.441,43.54987,17.070,0.009826660,0.1114197,-0.1339417,0.000000,0.000000,0.000000,1.0000,0.0000,1.0000,0.0000,-1
"2019-11-07 18:15:00",3,13.230,15.130,5390.622,77.66867,15.150,4332.377,49.02030,"NAN",4265.630,"NAN",16.740,0.03381348,0.1232605,"NAN",0.000000,0.000000,0.000000,1.0000,0.0000,1.0000,0.0000,-1
"2019-11-07 18:30:00",4,13.230,15.630,5389.293,77.65540,15.210,4331.994,49.01204,-153.80,4265.843,43.55130,16.490,-0.05307007,-0.03305054,"NAN",0.000000,0.000000,0.000000,1.0000,0.0000,1.0000,0.0000,-1
"2019-11-07 18:45:00",5,13.210,15.330,5389.962,77.65968,15.150,4333.103,49.04097,-152.70,4266.128,43.60256,16.250,0.01708984,0.1157379,0.2050476,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.0000,-1
"2019-11-07 19:00:00",6,13.190,15.250,5390.076,77.65887,15.150,4333.401,49.04925,"NAN",4266.355,"NAN",16.060,-0.003234863,0.03309631,"NAN",0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.0000,-1
"2019-11-07 19:15:00",7,13.190,15.350,5389.834,77.65736,15.220,4333.984,49.06818,-161.50,4266.696,43.28910,15.870,-0.006042480,0.07572937,"NAN",0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.0000,-1
"2019-11-07 19:30:00",8,13.190,14.980,5390.756,77.66491,14.900,4334.560,49.07251,-167.00,4266.488,43.08258,15.680,0.03021240,0.01731873,-0.8260803,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.0000,-1
"2019-11-07 19:45:00",9,13.190,14.920,5390.815,77.66398,14.740,4335.210,49.08501,"NAN",4266.653,"NAN",15.500,-0.003723145,0.05000305,"NAN",0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.0000,-1
"2019-11-07 20:00:00",10,13.160,14.640,5391.450,77.66826,14.530,4335.567,49.08721,"NAN",4267.063,"NAN",15.320,0.01712036,0.008804321,"NAN",0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.0000,-1
"2019-11-07 20:15:00",11,13.150,14.570,5391.470,77.66546,14.460,4337.144,49.12877,"NAN",4267.300,"NAN",15.150,-0.01119995,0.1662292,"NAN",0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.0000,-1
"2019-11-07 20:30:00",12,13.140,14.430,5391.850,77.66901,14.340,4336.959,49.11926,-151.80,4267.568,43.67162,15.000,0.01422119,-0.03802490,"NAN",0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.0000,-1
"2019-11-07 20:45:00",13,13.150,14.450,5391.797,77.66843,14.270,4337.900,49.14323,-165.60,4267.752,43.16741,14.860,-0.002349854,0.09588623,-2.016846,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.0000,-1
"2019-11-07 21:00:00",14,13.140,14.110,5392.609,77.67513,14.110,4338.649,49.15800,-156.00,4268.008,43.53049,14.710,0.02682495,0.05908203,1.452332,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.0000,-1
"2019-11-07 21:15:00",15,13.100,13.860,5393.122,77.67712,13.910,4339.394,49.17163,"NAN",4268.362,"NAN",14.570,0.007965088,0.05451965,"NAN",0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.0000,-1
"2019-11-07 21:30:00",16,13.110,13.640,5393.652,77.68141,13.710,4339.699,49.17291,-157.60,4268.741,43.48953,14.430,0.01715088,0.005111694,"NAN",0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.0000,-1
"2019-11-07 21:45:00",17,13.110,13.480,5393.994,77.68332,13.590,4340.173,49.18176,-152.80,4269.097,43.67767,14.300,0.007629395,0.03538513,0.7525787,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.0000,-1
"2019-11-07 22:00:00",18,13.110,13.350,5394.327,77.68628,13.450,4341.443,49.21203,-154.50,4269.357,43.62093,14.170,0.01184082,0.1210938,-0.2269745,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.0000,-1
"2019-11-07 22:15:00",19,13.110,13.150,5394.731,77.68796,13.290,4341.467,49.20698,-153.50,4269.638,43.66684,14.050,0.006713867,-0.02020264,0.1836243,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.0000,-1
